ID,Title,Category,URL,No_Reads
502424,IPL 2019: Ranking the openers of each team,cricket,https://www.sportskeeda.com/cricket/ipl-2019-ranking-the-openers-of-each-ipl-team,1357
502406,Brighton & Hove Albion vs Arsenal: Predicted starting XI for Arsenal | Premier League 2018-19,football,https://www.sportskeeda.com/football/brighton-hove-albion-vs-arsenal-predicted-starting-xi-for-arsenal-premier-league-2018-19,360
502415,3 WWE Superstars expected to shine in 2019,wwe,https://www.sportskeeda.com/wwe/3-wwe-superstars-expected-to-shine-in-2019-ss,1074
502433,"You're paid to win, not play: Smith talks of CA pressure before ball-tampering scandal",cricket,https://www.sportskeeda.com/cricket/you-re-paid-to-win-not-play-smith-talks-of-ca-pressure-before-ball-tampering-scandal,449
502440,"Australia vs India 2018-19, 3rd Test: Aussie commentators should not jump the gun on nature of MCG pitch",cricket,https://www.sportskeeda.com/cricket/australia-vs-india-2018-19-3rd-test-aussie-commentators-should-not-jump-the-gun-on-nature-of-mcg-pitch,247
502397,ISL 2018-19: ATK to bring Miguel Palanca on loan from FC Goa,football,https://www.sportskeeda.com/football/isl-2018-19-atk-to-bring-miguel-palanca-on-loan-from-fc-goa-zaid-krouch,634
502403,ISL 2018-19: Why FC Goa should sign Kerala Blasters' Sandesh Jhingan,football,https://www.sportskeeda.com/football/isl-2018-19-why-fc-goa-should-sign-kerala-blasters-sandesh-jhingan,63
502398,Disappointed to miss Kohli's wicket: Head,cricket,https://www.sportskeeda.com/cricket/disappointed-to-miss-kohli-s-wicket-head,229
502448,"Mitchell Marsh 'booed' at MCG, Head terms it disappointing",cricket,https://www.sportskeeda.com/cricket/mitchell-marsh-booed-at-mcg-head-terms-it-disappointing,87
502351,IPL 2019: Head coach and other support staff of all 8 IPL teams,cricket,https://www.sportskeeda.com/cricket/ipl-2019-head-coach-and-other-support-staff-of-all-8-ipl-teams,3085
502263,Australian commentators insult Mayank Agarwal and Ranji Trophy during the MCG Test,cricket,https://www.sportskeeda.com/cricket/australian-commentators-insult-mayank-agarwal-and-ranji-trophy-during-the-mcg-test,67724
502402,UFC 232 News: Joe Rogan brings recent Jon Jones steroid allegations to light,mma,https://www.sportskeeda.com/mma/ufc-232-news-joe-rogan-brings-recent-jon-jones-steroid-allegations-to-light,95
502460,PBL 2018: 3 epic clashes to look forward to in the Hyderabad leg,badminton,https://www.sportskeeda.com/badminton/pbl-2018-3-epic-clashes-to-look-forward-to-in-the-hyderabad-leg,11
502391,"Legend, we salute you – Smith & De Villiers laud record-breaking Steyn",cricket,https://www.sportskeeda.com/cricket/legend-we-salute-you-smith-de-villiers-laud-record-breaking-steyn,259
502400,Mahrez recognises 'massive' stakes in Premier League battle,football,https://www.sportskeeda.com/football/mahrez-recognises-massive-stakes-in-premier-league-battle,166
502394,It wasn't easy to check emotions and focus: Mayank ,cricket,https://www.sportskeeda.com/cricket/it-wasn-t-easy-to-check-emotions-and-focus-mayank,88
502456,Curry admits Warriors 'laid an egg' but defends struggling Thompson,basketball,https://www.sportskeeda.com/basketball/curry-admits-warriors-laid-an-egg-but-defends-struggling-thompson,57
502399,"For Sri Lanka, cricket has always been more than just a game",cricket,https://www.sportskeeda.com/cricket/for-sri-lanka-cricket-has-always-been-more-than-just-a-game,39
502470,Australia frustrated on tough opening day in Melbourne - Head,cricket,https://www.sportskeeda.com/cricket/australia-frustrated-on-tough-opening-day-in-melbourne-head,13
502377,Shubman Gill vs the world: When will the talented youngster get the recognition he deserves?,cricket,https://www.sportskeeda.com/cricket/shubman-gill-vs-the-world,4725
