ID,Title,Category,URL,No_Reads
502424,IPL 2019: Ranking the openers of each team,cricket,https://www.sportskeeda.com/cricket/ipl-2019-ranking-the-openers-of-each-ipl-team,2436
502415,3 WWE Superstars expected to shine in 2019,wwe,https://www.sportskeeda.com/wwe/3-wwe-superstars-expected-to-shine-in-2019-ss,1477
502469,WWE Rumors: Tentative date for launch of Women's Tag Team Titles revealed?,wwe,https://www.sportskeeda.com/wwe/wwe-rumors-tentative-date-for-launch-of-women-s-tag-team-titles-revealed,97
502440,"Australia vs India 2018-19, 3rd Test: Aussie commentators should not jump the gun on nature of MCG pitch",cricket,https://www.sportskeeda.com/cricket/australia-vs-india-2018-19-3rd-test-aussie-commentators-should-not-jump-the-gun-on-nature-of-mcg-pitch,382
502461,"Madrid & Barca target world-class striker, Valverde's Barca contract, Neymar release clause, and more La Liga news - 26th December 2018",football,https://www.sportskeeda.com/football/la-liga-news-transfer-round-up-26th-december-2018,19
502433,"You're paid to win, not play: Smith talks of CA pressure before ball-tampering scandal",cricket,https://www.sportskeeda.com/cricket/you-re-paid-to-win-not-play-smith-talks-of-ca-pressure-before-ball-tampering-scandal,605
502430,5 WWE Superstars with most matches in 2018,wwe,https://www.sportskeeda.com/wwe/5-wwe-superstars-most-matches-2018,0
502471,"Australia vs India 2018/19, Third Test, Day 1: 5 Talking Points ",cricket,https://www.sportskeeda.com/cricket/australia-vs-india-2018-19-third-test-day-1-5-talking-points,31
502448,"Mitchell Marsh 'booed' at MCG, Head terms it disappointing",cricket,https://www.sportskeeda.com/cricket/mitchell-marsh-booed-at-mcg-head-terms-it-disappointing,118
502483,Cristiano Ronaldo rested for Atalanta v Juventus,football,https://www.sportskeeda.com/football/cristiano-ronaldo-rested-for-atalanta-v-juventus,45
502263,Australian commentators insult Mayank Agarwal and Ranji Trophy during the MCG Test,cricket,https://www.sportskeeda.com/cricket/australian-commentators-insult-mayank-agarwal-and-ranji-trophy-during-the-mcg-test,69810
502470,Australia frustrated on tough opening day in Melbourne - Head,cricket,https://www.sportskeeda.com/cricket/australia-frustrated-on-tough-opening-day-in-melbourne-head,59
502446,What does boxing day test mean,cricket,https://www.sportskeeda.com/cricket/what-does-boxing-day-test-mean,13
502456,Curry admits Warriors 'laid an egg' but defends struggling Thompson,basketball,https://www.sportskeeda.com/basketball/curry-admits-warriors-laid-an-egg-but-defends-struggling-thompson,90
502411,India gear up to play Oman behind closed doors,football,https://www.sportskeeda.com/football/india-gear-up-to-play-oman-behind-closed-doors,81
502351,IPL 2019: Head coach and other support staff of all 8 IPL teams,cricket,https://www.sportskeeda.com/cricket/ipl-2019-head-coach-and-other-support-staff-of-all-8-ipl-teams,3875
502487,Kovacic: Chelsea the right club... for now,football,https://www.sportskeeda.com/football/kovacic-chelsea-the-right-club-for-now,10
502417,5 UFC fighters who retired in 2018,mma,https://www.sportskeeda.com/mma/5-ufc-fighters-who-retired-in-2018-ss,192
502377,Shubman Gill vs the world: When will the talented youngster get the recognition he deserves?,cricket,https://www.sportskeeda.com/cricket/shubman-gill-vs-the-world,5518
502406,Brighton & Hove Albion vs Arsenal: Predicted starting XI for Arsenal | Premier League 2018-19,football,https://www.sportskeeda.com/football/brighton-hove-albion-vs-arsenal-predicted-starting-xi-for-arsenal-premier-league-2018-19,608
