ID,Title,Category,URL,No_Reads
502424,IPL 2019: Ranking the openers of each team,cricket,https://www.sportskeeda.com/cricket/ipl-2019-ranking-the-openers-of-each-ipl-team,475
502415,3 WWE Superstars expected to shine in 2019,wwe,https://www.sportskeeda.com/wwe/3-wwe-superstars-expected-to-shine-in-2019-ss,444
502406,Brighton & Hove Albion vs Arsenal: Predicted starting XI for Arsenal | Premier League 2018-19,football,https://www.sportskeeda.com/football/brighton-hove-albion-vs-arsenal-predicted-starting-xi-for-arsenal-premier-league-2018-19,18
502397,ISL 2018-19: ATK to bring Miguel Palanca on loan from FC Goa,football,https://www.sportskeeda.com/football/isl-2018-19-atk-to-bring-miguel-palanca-on-loan-from-fc-goa-zaid-krouch,509
502433,"You're paid to win, not play: Smith talks of CA pressure before ball-tampering scandal",cricket,https://www.sportskeeda.com/cricket/you-re-paid-to-win-not-play-smith-talks-of-ca-pressure-before-ball-tampering-scandal,215
502440,"Australia vs India 2018-19, 3rd Test: Aussie commentators should not jump the gun on nature of MCG pitch",cricket,https://www.sportskeeda.com/cricket/australia-vs-india-2018-19-3rd-test-aussie-commentators-should-not-jump-the-gun-on-nature-of-mcg-pitch,91
502306,Reports: Neymar's PSG release clause revealed,football,https://www.sportskeeda.com/football/neymar-release-clause-psg-revealed,7877
502391,"Legend, we salute you – Smith & De Villiers laud record-breaking Steyn",cricket,https://www.sportskeeda.com/cricket/legend-we-salute-you-smith-de-villiers-laud-record-breaking-steyn,224
502400,Mahrez recognises 'massive' stakes in Premier League battle,football,https://www.sportskeeda.com/football/mahrez-recognises-massive-stakes-in-premier-league-battle,133
502351,IPL 2019: Head coach and other support staff of all 8 IPL teams,cricket,https://www.sportskeeda.com/cricket/ipl-2019-head-coach-and-other-support-staff-of-all-8-ipl-teams,1891
502263,Australian commentators insult Mayank Agarwal and Ranji Trophy during the MCG Test,cricket,https://www.sportskeeda.com/cricket/australian-commentators-insult-mayank-agarwal-and-ranji-trophy-during-the-mcg-test,65445
502398,Disappointed to miss Kohli's wicket: Head,cricket,https://www.sportskeeda.com/cricket/disappointed-to-miss-kohli-s-wicket-head,183
502448,"Mitchell Marsh 'booed' at MCG, Head terms it disappointing",cricket,https://www.sportskeeda.com/cricket/mitchell-marsh-booed-at-mcg-head-terms-it-disappointing,45
502417,5 UFC fighters who retired in 2018,mma,https://www.sportskeeda.com/mma/5-ufc-fighters-who-retired-in-2018-ss,145
502377,Shubman Gill vs the world: When will the talented youngster get the recognition he deserves?,cricket,https://www.sportskeeda.com/cricket/shubman-gill-vs-the-world,3883
502450,Richardson and Tye destroy Strikers for Perth's first win,cricket,https://www.sportskeeda.com/cricket/richardson-and-tye-destroy-strikers-for-perth-s-first-win,24
502313,IPL 2019: 3 squads that look the weakest on paper,cricket,https://www.sportskeeda.com/cricket/ipl-2019-3-squads-that-look-the-weakest-on-paper,4241
502386,5 reasons why Cris Cyborg will beat Amanda Nunes,mma,https://www.sportskeeda.com/mma/5-reasons-why-cris-cyborg-will-beat-amanda-nunes,154
502394,It wasn't easy to check emotions and focus: Mayank ,cricket,https://www.sportskeeda.com/cricket/it-wasn-t-easy-to-check-emotions-and-focus-mayank,73
502429,Steyn breaks record as South Africa reduces Pakistan to 76-4,cricket,https://www.sportskeeda.com/cricket/steyn-breaks-record-as-south-africa-reduces-pakistan-to-76-4,54
